pageid,num_positive_words,num_negative_words,num_controversial_words
16756,87,21,0
16881,83,47,19
17391,151,51,3
16760,162,108,3
16779,161,76,3
197615,32,6,0
16707,128,64,3
17862,262,121,2
66936,29,35,1
924166,30,18,5
56873,34,32,55
45870,21,11,0
17782843,114,14,2
577320,78,27,0
30667,62,33,0
18522,12,10,0
420883,34,9,0
2680715,2,1,0
277395,88,31,0
18486,4,2,0
17771,131,26,0
168917,53,20,4
50151,122,64,1
9910441,104,64,0
2327581,132,61,10
8939450,81,23,4
3225498,235,53,0
30706524,164,70,1
183290,78,47,0
217196,20,14,0
29206360,17,11,1
168540,70,36,1
160760,160,45,0
50106813,35,12,0
1361082,30,25,0
22760983,102,24,1
3329753,9,2,0
86364,18,5,0
68110,14,15,2
419038,49,13,1
196206,35,27,2
18130,154,50,2
17628,66,31,0
384676,54,40,3
21009880,117,120,2
23371382,232,91,3
229257,150,62,8
414890,19,3,0
38776,168,40,0
75890,55,46,1
159846,74,33,4
432709,55,27,0
19037,62,15,0
142056,175,56,2
36753,141,40,0
7907317,122,79,5
170487,15,3,0
38776,168,40,0
21021,75,23,0
20796,116,50,0
19527,277,96,3
46636,104,30,0
978525,53,22,1
89662,52,19,2
19831,165,69,6
87944,16,8,1
728775,52,17,0
1481886,76,36,3
650426,48,19,0
572897,112,32,21
875547,178,199,3
20548,35,11,2
7567080,186,94,1
20076,206,103,5
409691,27,5,2
25454239,22,10,0
103695,66,13,1
11415141,153,40,2
96484,35,33,3
20347,397,107,2
21021,75,23,0
18932,114,33,2
1028044,20,24,0
44219,117,53,2
23943124,9,7,38
361024,84,32,3
163056,123,23,0
20798,148,52,0
49611,89,60,1
19356,134,84,0
18567040,201,50,0
344287,61,47,0
9530099,58,23,0
220841,121,51,2
21073732,169,85,0
3966054,263,55,9
68904,54,17,0
14995351,194,83,2
20455,96,35,3
74461,52,20,5
104998,29,9,0
1801949,6,2,0
9492386,93,33,3
428979,113,49,3
2064489,207,81,13
986814,65,22,5
348746,32,1,1
3138569,38,23,0
18836,181,53,2
301237,92,31,11
39027,94,76,0
20979,161,42,1
8135890,90,20,0
5735,69,46,0
312170,84,107,1
20948,53,27,1
20381,101,31,0
289505,10,15,4
19168,69,50,0
426208,207,88,17
46007,62,15,0
2232012,40,10,0
43254,104,37,3
18925,86,22,1
21023,115,31,0
347105,112,56,7
53029,159,48,3
1304321,11,14,1
63747,179,122,3
51885,158,36,1
347084,17,18,0
493657,56,10,1
20742,222,69,3
1329090,228,89,1
30821628,2,0,0
1270655,51,13,12
21133,148,37,1
11481790,101,66,1
147301,118,41,16
69880,257,96,1
21113,14,5,0
2307316,31,6,1
424675,79,19,2
70101,97,24,15
2579018,38,48,0
21217,302,106,1
22131,229,29,1
38188,167,36,0
21212,147,63,4
31045316,201,59,6
14335296,40,39,0
21492751,204,64,1
2510105,86,12,1
216531,101,64,3
93088,118,37,1
21632,110,57,0
1398166,189,79,0
30072373,48,18,9
21742,264,63,1
21648,165,29,3
2184535,155,40,0
53842,119,37,1
602643,180,73,3
179187,110,50,3
557007,109,22,9
323592,194,86,0
25529159,19,4,0
42558,239,141,5
21473,158,84,1
21566,136,32,2
2570425,0,1,0
1631652,84,33,0
173540,60,7,0
16365325,27,17,0
21265,144,36,6
1067062,25,24,0
21704,62,24,0
