@RELATION wiki_binned
@ATTRIBUTE num_categories   Numeric
@ATTRIBUTE num_words    Numeric
@ATTRIBUTE num_images   Numeric
@ATTRIBUTE num_links_in Numeric
@ATTRIBUTE num_links_out    Numeric
@ATTRIBUTE num_references   Numeric
@ATTRIBUTE num_revisions    Numeric
@ATTRIBUTE article_age_in_days  Numeric
@ATTRIBUTE avg_revs_per_day Numeric
@ATTRIBUTE num_positive_words   Numeric
@ATTRIBUTE num_negative_words   Numeric
@ATTRIBUTE num_controversial_words  Numeric
@ATTRIBUTE com_percentage   Numeric
@ATTRIBUTE org_percentage Numeric
@ATTRIBUTE gov_percentage   Numeric
@ATTRIBUTE net_percentage Numeric
@ATTRIBUTE edu_percentage   Numeric
@ATTRIBUTE other_percentage     Numeric
@ATTRIBUTE isControversial  {yes,no}

@DATA
15,85283,3,3,363,276,215,2133,0.10079699953117674,0.0018643809434471114,0.0010435843016779428,7.035399786592873e-05,0.34057971014492755, 0.010869565217391304, 0.021739130434782608, 0, 0.007246376811594203, 0.6195652173913043,no
26,81375,48,47896,1327,161,9931,6202,1.6012576588197356,0.0019047619047619048,0.00030721966205837174,0.0,0.906832298136646, 0.024844720496894408, 0, 0, 0.012422360248447204, 0.055900621118012424,no
11,84218,5,34,28,37,223,4859,0.04589421691706112,0.0003799662779928281,9.499156949820703e-05,0.0,0, 0.5405405405405406, 0, 0, 0.4594594594594595, 0,no
99,81903,73,130737,1407,161,24584,5962,4.123448507212345,0.0016238721414356006,0.0008302504181776003,4.883825989280002e-05,0.11801242236024845, 0.5652173913043478, 0.024844720496894408, 0, 0.08074534161490683, 0.2111801242236025,no
21,85355,9,135,309,338,2318,4707,0.49245804121521136,0.002331439282994552,0.0016050612149258977,1.171577529142991e-05,0.3727810650887574, 0.28994082840236685, 0.05621301775147929, 0.005917159763313609, 0.07100591715976332, 0.20414201183431951,no
56,85826,35,1244,1009,155,2253,5710,0.3945709281961471,0.002493416913289679,0.0009204669913546012,0.000116514809032228,0.6967741935483871, 0.17419354838709677, 0.04516129032258064, 0, 0.03870967741935484, 0.04516129032258064,no
10,83869,21,2880,364,12,1590,5639,0.2819648873913814,0.0024800581859805173,0.0007988648964456474,1.192335666336787e-05,0.16666666666666666, 0.3333333333333333, 0, 0, 0, 0.5,no
36,82654,115,13000,1852,336,9470,6007,1.5764940902280673,0.0021051612747114475,0.00013308490817141337,0.0,0.6220238095238095, 0.16964285714285715, 0.09226190476190477, 0.011904761904761904, 0.0625, 0.041666666666666664,no
42,81950,23,1306,732,68,1857,5337,0.34794828555368185,0.002989627821842587,0.0009517998779743747,0.0,0.45588235294117646, 0.17647058823529413, 0.014705882352941176, 0, 0.08823529411764706, 0.2647058823529412,no
42,86382,39,1289,644,152,3615,4409,0.819913812655931,0.001690166932925841,0.0006945891505174689,0.0,0.23684210526315788, 0.3026315789473684, 0.02631578947368421, 0.06578947368421052, 0.019736842105263157, 0.34868421052631576,no
