pageid,net_percentage,org_percentage,avg_revs_per_day,num_links_in,num_controversial_words,gov_percentage,num_negative_words,num_images,com_percentage,article_age_in_days,num_revisions,edu_percentage,num_links_out,other_percentage,num_categories,num_positive_words,num_words,num_references,class
274851, 0, 0.10743801652892562,0.378099173553719,342,1, 0.06611570247933884,49,51,0.7851239669421488,5324,2013, 0.01652892561983471,395, 0.024793388429752067,26,93,48391,121,no
2752, 0, 0.23333333333333334,0.7398277899712983,334,6, 0.32666666666666666,34,12,0.26666666666666666,5923,4382, 0.02,313, 0.15333333333333332,14,61,24748,150,yes
53869, 0.009523809523809525, 0.08571428571428572,0.604282729805014,963,0, 0.0380952380952381,36,36,0.780952380952381,5744,3471, 0.02857142857142857,701, 0.05714285714285714,82,61,32071,105,yes
163056, 0.013333333333333334, 0.5733333333333334,0.7765514745793378,452,0, 0.02666666666666667,23,9,0.31333333333333335,5527,4292, 0.013333333333333334,307, 0.06,30,123,44492,150,yes
51892421, 0, 0,0.012048192771084338,20,0, 0,0,2,0.4,498,6, 0,23, 0.6,5,1,593,5,no
31869514, 0.25, 0,0.007314099959366111,4,0, 0.25,2,4,0.5,2461,18, 0,66, 0,4,2,2490,4,no
53282842, 0, 0,0.008356545961002786,1,0, 0,0,0,0,359,3, 0,12, 1,5,2,220,1,no
59749, 0.030303030303030304, 0.36363636363636365,1.0140007000350018,509,0, 0.16666666666666666,26,11,0.2727272727272727,5714,5794, 0.15151515151515152,167, 0.015151515151515152,31,74,27602,66,yes
43243, 0.022988505747126436, 0.4482758620689655,0.3223480947476828,274,2, 0,65,10,0.3563218390804598,5826,1878, 0.034482758620689655,275, 0.13793103448275862,26,153,46770,87,yes
45620527, 0, 0,0.026022304832713755,42,0, 0,0,2,0.6666666666666666,1076,28, 0,33, 0.3333333333333333,7,3,473,6,no
25734043, 0, 0.16666666666666666,0.008105369807497468,681,0, 0.6666666666666666,0,10,0.16666666666666666,2961,24, 0,632, 0,4,2,712,6,no
43073294, 0, 0.3333333333333333,0.005219985085756898,47,0, 0.16666666666666666,0,2,0.5,1341,7, 0,54, 0,5,1,427,6,no
5211, 0.03409090909090909, 0.25,3.0974911601279675,19110,1, 0.019886363636363636,53,64,0.4715909090909091,5939,18396, 0.048295454545454544,1325, 0.17613636363636365,24,228,79154,352,yes
24702718, 0.23015873015873015, 0.007936507936507936,0.09386281588447654,66,0, 0,0,3,0.0873015873015873,3047,286, 0,110, 0.6746031746031746,17,37,11981,126,no
1304321, 0, 0.3333333333333333,0.194548481065335,9,1, 0.16666666666666666,14,0,0.4444444444444444,4806,935, 0,135, 0.05555555555555555,4,11,5328,18,yes
1638092, 0, 0,0.17755621552821382,21,0, 0,4,5,1,4714,837, 0,115, 0,17,10,2973,2,no
20548, 0, 0.037037037037037035,0.527707596429173,1190,2, 0.037037037037037035,11,15,0.8518518518518519,5937,3133, 0.05555555555555555,1247, 0.018518518518518517,49,35,20364,54,yes
162615, 0.0472972972972973, 0.31756756756756754,0.4083921143063845,645,0, 0.10810810810810811,105,6,0.22972972972972974,5529,2258, 0.02702702702702703,575, 0.2702702702702703,21,120,52111,148,yes
38100116, 0, 0.007352941176470588,1.2234099412079102,45,11, 0.03676470588235294,79,1,0.9191176470588235,1871,2289, 0,96, 0.03676470588235294,27,70,35588,136,yes
18919139, 0, 0,0.0037463976945244955,2,0, 0,0,2,0,3470,13, 0,4, 1,6,0,184,2,no
143840, 0.04580152671755725, 0,1.0324140401146131,129,0, 0,32,6,0.9007633587786259,5584,5765, 0,142, 0.05343511450381679,28,50,22557,131,yes
6480313, 0, 1,0.009514747859181731,7,0, 0,0,3,0,4204,40, 0,13, 0,12,1,450,2,no
1411489, 0, 0.375,0.02554438860971524,7,0, 0,4,0,0.375,4776,122, 0,20, 0.25,2,3,1938,8,no
11494260, 0, 0.171875,0.632120253164557,444,0, 0.0625,25,6,0.6953125,5056,3196, 0,442, 0.0703125,48,59,23459,128,yes
12759592, 0, 0,0.00546875,4,0, 0,0,5,1,3840,21, 0,17, 0,7,0,547,1,no
18836, 0.06666666666666667, 0.6333333333333333,2.131984745481678,13375,2, 0.03333333333333333,53,42,0.03333333333333333,6031,12858, 0.1,944, 0.13333333333333333,21,181,91741,30,yes
18522, 0, 0.047619047619047616,0.5553461274845785,1840,0, 0.3333333333333333,10,3,0.47619047619047616,5836,3241, 0.11904761904761904,153, 0.023809523809523808,5,12,11625,42,yes
