pageid,num_categories,num_words,num_images,num_links_in,num_links_out,num_references,num_revisions
31924235,10,2284,2,8,20,22,66
33320626,8,1718,3,27,48,1,35
1337562,2,1773,1,2,9,11,59
3308518,8,2154,2,169,227,3,96
44417797,13,7213,6,5,46,17,93
21248541,5,1792,3,17,10,1,30
52490982,5,170,0,1,13,1,5
29550170,5,671,2,1,9,2,9
24473710,2,1915,0,2,14,1,21
47523615,20,16494,4,3,42,19,85
397608,7,6631,5,172,69,12,151
1717362,8,254,4,53,58,2,36
44231821,7,5088,0,71,90,20,24
213505,8,11227,2,32,84,19,1154
21561624,5,407,4,31,43,3,9
20784788,9,376,3,63,20,7,26
1217172,6,2532,3,41,97,1,96
81080,4,2376,1,8,26,5,68
23387033,5,229,4,6,11,2,10
6682794,9,219,2,11,5,1,12
12492611,10,1334,10,9,30,12,56
3009930,20,9046,0,66,92,22,136
24108001,37,591,5,116,136,5,91
16675338,5,12763,20,355,794,4,96
11544797,15,1931,0,6,34,11,90
21825327,7,274,5,17,23,3,28
1319130,9,1430,0,36,18,6,128
9912536,12,121,3,34,46,2,17
45333088,7,7638,1,1,36,9,131
11052957,7,2614,2,10,23,4,32
18886043,16,443,2,7,9,1,30
8383598,9,775,3,92,108,3,65
38880647,9,359,2,1,5,1,11
53204536,7,1413,2,2,11,3,15
15771453,11,1742,1,158,227,4,38
51106671,11,220,1,3,10,1,6
3174866,17,898,1,5,14,13,50
18920843,5,1892,3,108,103,1,29
39784712,5,499,9,196,209,3,16
19773834,6,2696,1,1,14,11,48
22031337,7,3617,4,10,41,15,67
53528343,5,630,1,13,17,1,2
29259689,5,443,1,6,12,2,8
21176841,17,18422,4,24,102,6,212
496060,24,3467,5,156,162,14,279
3765095,6,962,0,53,65,1,46
2297189,32,7327,3,141,154,25,753
2137311,6,3248,6,72,68,10,275
42601178,9,368,6,125,87,3,8
38326797,8,845,3,4,33,5,18
53560109,4,779,3,5,17,2,9
219366,27,5028,6,171,74,20,479
18813325,1,4580,0,2,7,1,39
1454675,8,5408,9,72,175,12,115
27290277,17,3143,0,11,28,10,58
23982659,6,269,2,2,8,1,15
21603660,11,2485,2,660,216,13,275
306586,18,9527,10,534,433,31,478
21015307,5,345,5,29,40,2,7
2960920,20,8171,8,108,100,36,215
1489377,2,7206,1,70,132,24,382
50977743,9,933,0,5,10,4,20
4052307,13,4062,2,41,60,14,113
19177335,3,1703,2,2,25,2,18
35571884,10,4489,0,2,31,19,70
22694997,13,288,2,3,13,2,38
14592464,8,267,21,3,6,1,15
25020555,4,784,4,43,95,1,32
4314964,5,1406,0,41,108,2,40
27760528,4,936,0,3,23,11,10
4203664,3,1254,4,75,150,2,29
41834204,7,750,1,1,26,1,2
21451794,12,158,2,7,11,1,23
7373779,8,1365,6,349,192,6,35
44064999,5,911,18,14,65,12,44
29963812,6,640,1,16,30,8,30
40730710,5,94,4,4,13,2,6
12759592,7,547,5,4,17,1,21
12357782,7,385,2,3,27,9,24
3731263,11,1719,3,30,33,8,62
27107970,6,674,2,247,776,5,24
7081711,9,745,7,7,20,4,18
25821985,6,1268,0,4,120,2,16
32133773,12,818,0,1,11,9,13
21916846,6,162,2,6,15,1,18
1102521,15,5548,4,54,26,6,224
11591368,8,505,5,42,16,1,36
1659930,11,999,3,67,47,13,85
13581248,13,1428,3,11,34,6,115
36456122,5,258,4,193,212,4,5
43063258,6,3212,248,181,186,5,19
55782747,7,192,17,376,434,1,5
46961089,5,669,2,3,11,6,22
39661318,14,767,6,11,18,6,17
13087934,15,3409,4,10,36,8,69
7878011,5,6601,9,546,317,5,127
24217073,8,313,4,148,149,1,32
4248526,9,17178,1,8,14,5,119
20019277,7,16117,5,176,196,5,82
27230386,1,630,0,47,61,4,14
35550838,5,165,2,2,14,2,6
42817312,5,160,1,1,11,2,3
29300680,14,920,1,5,24,1,21
18768286,17,992,2,179,88,12,111
13132026,4,506,1,2,12,11,9
6716015,7,636,4,72,85,3,43
7487495,4,786,3,88,97,3,22
234732,4,765,0,7,20,2,34
12266069,11,1240,2,8,18,2,37
33542888,8,1027,0,34,244,46,59
26585826,11,9949,7,65,151,51,76
11892058,6,1659,1,3,7,8,42
30778815,6,2091,8,45,203,12,19
8580672,13,2517,4,6,32,3,76
